"Sex","N","Period","GO","WE","LO"
"Female",504,"1999-2006",1254.35670893185,1297.02104969384,1271.40487670852
"Female",616,"2007-2014",1305.79575253893,1339.27452514806,1323.3720016963
"Female",175,"2015-2022",495.772837119488,492.710473587864,498.548173789921
"Male",566,"1999-2006",1354.34181560928,1350.08032061255,1357.30896181402
"Male",576,"2007-2014",1341.15441085472,1360.82700157548,1348.65411779511
"Male",211,"2015-2022",657.136244583436,652.891210818922,649.74005778476
