"Sex","Period","Mean","SE","Lower","Upper"
"Female","1999-2006",0.921213895898421,0.0430350410668902,0.839290217606654,1.00781062463947
"Female","2007-2014",0.802936322158293,0.0364820163317033,0.733120919344119,0.876239259168712
"Female","2015-2022",1.03835544666364,0.0802042468194874,0.891670060375433,1.20781280898706
"Male","1999-2006",0.988985340484009,0.0475630421411289,0.899395274202567,1.08498533603025
"Male","2007-2014",0.950695439450938,0.0434779487331765,0.8697712151732,1.03910698993373
"Male","2015-2022",1.31724547437543,0.0969405247736434,1.14147479938949,1.51896287782338
